"","diff","lwr","upr","p adj"
"Federal-Cooperative",-0.122414606724026,-0.125763426719731,-0.11906578672832,0
"Investor Owned-Cooperative",-0.0092347612197331,-0.0103695607023555,-0.00809996173711066,0
"Municipal-Cooperative",0.00169011380326341,-0.000826895873791388,0.0042071234803182,0.427606021418961
"Political Subdivision-Cooperative",-0.0193914822626205,-0.0230581144114902,-0.0157248501137508,0
"Retail Power Marketer-Cooperative",0.0162990794311866,0.00765522547967641,0.0249429333826969,5.65653248130182e-07
"State-Cooperative",0.0260964404540206,0.0200381460653365,0.0321547348427046,0
"Investor Owned-Federal",0.113179845504293,0.109916271806068,0.116443419202517,0
"Municipal-Federal",0.124104720527289,0.120142589644498,0.128066851410081,0
"Political Subdivision-Federal",0.103023124461405,0.098247421923233,0.107798826999578,0
"Retail Power Marketer-Federal",0.138713686155213,0.129544206641466,0.147883165668959,0
"State-Federal",0.148511047178047,0.141723847879518,0.155298246476575,0
"Municipal-Investor Owned",0.0109248750229965,0.00852244799299292,0.0133273020530001,0
"Political Subdivision-Investor Owned",-0.0101567210428874,-0.013745663677596,-0.00656777840817878,7.54951656745106e-14
"Retail Power Marketer-Investor Owned",0.0255338406509198,0.0169226543763613,0.0341450269254782,5.61772850460329e-14
"State-Investor Owned",0.0353312016737537,0.0293196088049655,0.0413427945425419,0
"Political Subdivision-Municipal",-0.0210815960658839,-0.0253157520719678,-0.0168474400598,0
"Retail Power Marketer-Municipal",0.0146089656279232,0.00570952199903436,0.0235084092568121,2.67902190549396e-05
"State-Municipal",0.0244063266507572,0.0179886310620982,0.0308240222394161,1.55431223447522e-14
"Retail Power Marketer-Political Subdivision",0.0356905616938071,0.0264003006369526,0.0449808227506617,0
"State-Political Subdivision",0.0454879227166411,0.0385384140815339,0.0524374313517483,0
"State-Retail Power Marketer",0.00979736102283393,-0.000670097603276991,0.0202648196489449,0.0841207273274371
